mode,mode_name,category,n_samples,n_feasible,feasible_rate,time_seconds,property_noise,n_pareto,min_cost,max_cost,max_recall,min_recall,mean_recall,min_latency,min_carbon,hv_2d,n_high_quality,repeat
full_ontology,Full Ontology (Baseline),baseline,2000,253,0.1265,0.09498715400695801,0.0,26,548250.0688285715,6465000.128425926,0.96,0.800064119829944,0.9259262875221106,1.0,350.7271708683474,6957045.076786344,120,0
full_ontology,Full Ontology (Baseline),baseline,2000,225,0.1125,0.0965123176574707,0.0,53,548250.0886261981,6465000.140812183,0.96,0.802009817243451,0.9204734833147572,1.0,350.75180722891565,6907904.116829908,85,1
full_ontology,Full Ontology (Baseline),baseline,2000,226,0.113,0.09527134895324707,0.0,24,548250.066731302,6465000.231166666,0.96,0.8008403601368985,0.9251044487170016,1.0,350.72901408450707,6957045.197922074,88,2
property_noise_10,Property Noise 10%,soft,2000,199,0.0995,0.14752507209777832,0.1,63,543834.3654296014,6478474.7455003895,0.96,0.801449265491969,0.9266500382342528,3.5215021235205706,324.6549123915539,6977437.125898077,92,0
property_noise_10,Property Noise 10%,soft,2000,183,0.0915,0.14694571495056152,0.1,73,543531.8757794627,6558931.016363036,0.96,0.8026202671981648,0.9170126963141834,3.842494351103398,327.3589557256723,7071569.776753071,70,1
property_noise_10,Property Noise 10%,soft,2000,168,0.084,0.14779329299926758,0.1,63,546664.3055810645,8334040.607161062,0.96,0.8066732775157199,0.9241039866282911,1.366731093100943,323.8225590793707,9138027.18403387,76,2
property_noise_30,Property Noise 30%,soft,2000,176,0.088,0.1484675407409668,0.3,34,539509.1264538607,7664492.43489006,0.96,0.8087252857207454,0.9256866413632518,1.3975558867397475,255.7404389011251,8364909.952121347,84,0
property_noise_30,Property Noise 30%,soft,2000,168,0.084,0.17505192756652832,0.3,78,541458.87989492,6896782.296708824,0.96,0.8032999086293744,0.9199309529918263,1.0,252.36010205970098,7459803.2629895145,71,1
property_noise_30,Property Noise 30%,soft,2000,140,0.07,0.14716506004333496,0.3,58,547210.8521310623,6742777.752260694,0.96,0.8013728416904167,0.9221354391938592,3.394098977361194,257.65370850756756,7279180.421113128,60,2
property_noise_50,Property Noise 50%,soft,2000,155,0.0775,0.14545512199401855,0.5,43,544554.8093636716,6874032.0953703765,0.96,0.8006220488233255,0.9208655082811492,2.2783582015330692,198.0179923252006,7437893.325276368,71,0
property_noise_50,Property Noise 50%,soft,2000,155,0.0775,0.1473987102508545,0.5,53,537752.2432908723,6815868.455249608,0.96,0.8017256597646066,0.9254871807486649,2.3193162386914574,199.42906981192547,7376978.5996155925,79,1
property_noise_50,Property Noise 50%,soft,2000,148,0.074,0.14646649360656738,0.5,46,531731.7603881032,8219485.617313491,0.96,0.8083510749565156,0.9320563589957669,1.2197402328002234,208.15341865602247,9013330.701007515,76,2
no_compatibility,No Compatibility Rules,hard,2000,256,0.128,0.09222412109375,0.0,26,548250.0927759197,6465000.145120482,0.96,0.8028704695130361,0.932921043715016,1.0,350.7244444444445,6957045.0406067725,141,0
no_compatibility,No Compatibility Rules,hard,2000,250,0.125,0.09340643882751465,0.0,30,548250.07528125,6465000.2230555555,0.96,0.8039748692721133,0.9295960356537678,1.0,350.72625698324015,6957045.180284654,118,1
no_compatibility,No Compatibility Rules,hard,2000,253,0.1265,0.09434914588928223,0.0,37,548250.08231454,8180080.698181818,0.96,0.8124786139460614,0.9387746868178806,1.0,350.7226519337016,8956829.000206646,149,2
type_defaults,Type Defaults Only,hard,2000,324,0.162,0.08034038543701172,0.0,37,548250.0743518518,6465000.094101563,0.96,0.8044551069924366,0.9348155737009639,6.795494047907094,350.8549575070822,6957045.030909461,180,0
type_defaults,Type Defaults Only,hard,2000,298,0.149,0.08186841011047363,0.0,50,548250.0772115384,6465000.233883495,0.96,0.8084160097924844,0.9369169389052577,7.148210140167405,350.8448753462603,6957045.190472309,166,1
type_defaults,Type Defaults Only,hard,2000,319,0.1595,0.08227992057800293,0.0,33,548250.0708529411,6465000.523695652,0.96,0.8038574515711976,0.934729280593492,6.767997658929519,350.8473537604457,6957045.535519543,177,2
degraded_50,Degraded 50%,combined,2000,74,0.037,0.13523530960083008,0.5,47,550730.1025715389,6758589.448597893,0.96,0.8291368146786791,0.9390326590638942,68.47832151868973,194.47177750046365,7296741.388339313,45,0
degraded_50,Degraded 50%,combined,2000,71,0.0355,0.13431239128112793,0.5,37,560016.2324116402,6594032.462312169,0.96,0.8045972743000974,0.9357063168547319,70.87150941611488,230.20677157756478,7095024.644699652,39,1
degraded_50,Degraded 50%,combined,2000,77,0.0385,0.13570809364318848,0.5,31,1046809.9716891339,5788345.225053189,0.96,0.81289580111591,0.9376026937878783,67.24732977336315,201.9315222080644,5630743.628218499,46,2
